catchment,prepare_exe,run_at_5km
40021,exe20,False
40022,exe20,False
40033,exe20,False
41001,exe20,False
41003,exe20,False
41004,exe20,False
41005,exe20,False
41006,exe20,False
41009,exe20,False
41011,exe20,False
41012,exe20,False
41013,exe20,False
41014,exe20,False
41016,exe20,False
41019,exe20,False
41020,exe20,False
41022,exe20,False
41023,exe20,False
41025,exe20,False
41027,exe20,False
41028,exe20,False
41029,exe20,False
42001,exe20,False
42003,exe20,False
42004,exe50,False
42006,exe20,False
42008,exe20,False
42010,exe20,False
42011,exe20,False
42016,exe20,False
42017,exe20,False
42024,exe20,False
42026,exe20,False
42027,exe20,False
43005,exe20,False
43006,exe20,False
43007,exe50,False
43008,exe20,False
43009,exe50,False
43014,exe20,False
43017,exe20,False
43018,exe20,False
43021,exe50,False
44001,exe50,False
44002,exe20,False
44006,exe20,False
44009,exe20,False
44011,exe20,False
45001,exe50,False
45003,exe20,False
45004,exe20,False
45005,exe20,False
45009,exe20,False
45012,exe20,False
46003,exe20,False
46005,exe20,False
46008,exe20,False
46014,exe20,False
47001,exe50,False
47004,exe20,False
47005,exe20,False
47008,exe20,False
47009,exe20,False
47011,exe20,False
47014,exe20,False
47018,exe20,False
48003,exe20,False
48004,exe20,False
48005,exe20,False
48011,exe20,False
49001,exe20,False
49002,exe20,False
49004,exe20,False
50001,exe50,False
50002,exe50,False
50006,exe20,False
50007,exe20,False
50008,exe20,False
50011,exe20,False
51001,exe20,False
52004,exe20,False
52005,exe20,False
52006,exe20,False
52007,exe20,False
52009,exe20,False
52010,exe20,False
52011,exe20,False
52015,exe20,False
52016,exe20,False
53005,exe20,False
53006,exe20,False
53007,exe20,False
53008,exe20,False
53009,exe20,False
53013,exe20,False
53017,exe20,False
53018,exe50,False
53022,exe50,False
53023,exe20,False
53028,exe20,False
54001,exe50,True
54002,exe50,False
54003,exe20,False
54004,exe20,False
54005,exe50,False
54007,exe20,False
54008,exe50,False
54011,exe20,False
54012,exe50,False
54015,exe20,False
54016,exe50,False
54017,exe20,False
54018,exe20,False
54019,exe20,False
54020,exe20,False
54022,exe20,False
54024,exe20,False
54025,exe20,False
54027,exe20,False
54028,exe50,False
54029,exe50,False
54032,exe50,True
54034,exe20,False
54036,exe20,False
54038,exe20,False
54044,exe20,False
54048,exe20,False
54049,exe20,False
54052,exe20,False
54057,exe50,True
54060,exe20,False
54063,exe20,False
54080,exe20,False
54095,exe50,True
54096,exe20,False
55002,exe50,False
55007,exe50,False
55008,exe20,False
55013,exe20,False
55014,exe20,False
55016,exe20,False
55018,exe20,False
55021,exe20,False
55023,exe50,True
55025,exe20,False
55026,exe20,False
55029,exe20,False
55032,exe20,False
56001,exe50,False
56002,exe20,False
56007,exe20,False
56012,exe20,False
56013,exe20,False
57004,exe20,False
57005,exe50,False
57006,exe20,False
57007,exe20,False
57008,exe20,False
57009,exe20,False
58001,exe20,False
58002,exe20,False
58006,exe20,False
58008,exe20,False
58009,exe20,False
58010,exe20,False
58012,exe20,False
59001,exe20,False
60002,exe20,False
60003,exe20,False
60005,exe20,False
60006,exe20,False
60010,exe50,False
60012,exe20,False
61001,exe20,False
61002,exe20,False
62001,exe50,False
63001,exe20,False
63004,exe20,False
64001,exe50,False
64002,exe20,False
64006,exe20,False
65001,exe20,False
65004,exe20,False
65005,exe20,False
65006,exe20,False
65007,exe20,False
65008,exe20,False
66001,exe20,False
66004,exe20,False
66006,exe20,False
66011,exe50,False
67001,exe50,False
67005,exe20,False
67006,exe20,False
67008,exe20,False
67010,exe20,False
67015,exe50,False
67018,exe20,False
67025,exe20,False
67033,exe50,False
68001,exe50,False
68003,exe20,False
68004,exe20,False
68005,exe20,False
68020,exe20,False
69002,exe50,False
69007,exe50,False
69012,exe20,False
69015,exe20,False
69017,exe20,False
69023,exe20,False
69027,exe20,False
69030,exe20,False
69032,exe20,False
69043,exe20,False
70002,exe20,False
71001,exe50,False
71004,exe20,False
71006,exe50,False
71008,exe20,False
71014,exe50,False
72002,exe20,False
72004,exe50,False
72005,exe20,False
72007,exe20,False
72009,exe20,False
72014,exe20,False
72015,exe20,False
73005,exe20,False
73009,exe20,False
73010,exe20,False
73011,exe20,False
73014,exe20,False
73015,exe20,False
74001,exe20,False
74005,exe20,False
74006,exe20,False
74007,exe20,False
75003,exe50,False
75004,exe20,False
75017,exe20,False
76003,exe50,False
76005,exe50,False
76007,exe50,True
76008,exe20,False
76014,exe20,False
77002,exe50,False
77003,exe20,False
77004,exe20,False
78003,exe50,False
78004,exe20,False
78006,exe20,False
79002,exe50,False
79003,exe20,False
79004,exe20,False
79005,exe20,False
79006,exe50,False
80001,exe20,False
80002,exe50,False
80003,exe20,False
80004,exe20,False
80006,exe20,False
81002,exe20,False
81003,exe20,False
81004,exe20,False
81006,exe20,False
81007,exe20,False
82001,exe20,False
82003,exe20,False
83003,exe20,False
83004,exe20,False
83006,exe50,False
83007,exe20,False
83009,exe20,False
83010,exe20,False
83013,exe20,False
84001,exe20,False
84004,exe50,False
84005,exe50,False
84008,exe20,False
84009,exe20,False
84012,exe20,False
84013,exe50,False
84014,exe20,False
84016,exe20,False
84017,exe20,False
84018,exe50,False
84019,exe20,False
84020,exe20,False
84022,exe20,False
84026,exe20,False
84030,exe20,False
85001,exe50,False
